a,2
actual,5
ad,6
add,2
advertisement,2
all,2
also,2
and,2
but,4
calculate,2
carefull,2
cases,2
characters,2
confused,1
copy,2
correct,2
create,2
days,5
each,2
end,2
existing,2
feed,1
feel,4
file,12
fixiz,2
from,14
gdańsk,1
got,2
happy,2
here,2
homework,2
i,6
in,2
input,12
is,13
it,8
iz,8
journal,7
json,3
kraków,2
last,4
left,5
letter,2
mazowiecki,1
misspelling,2
mistake,2
more,2
my,3
need,2
news,11
normalize,2
not,2
note,1
number,2
of,8
olsztyn,1
one,2
only,4
paragraph,2
point,2
private,8
sentence,4
some,1
spaces,2
tex,2
text,13
the,9
these,2
this,17
to,8
todayjenny,2
todaystephan,1
todaysusan,1
tomaszów,1
txt,6
unhappy,1
until,5
variable,2
view,2
when,2
whitespace,2
whitespaces,2
with,4
words,2
xml,3
you,2
your,2
