a,1
about,1
actual,5
ad,7
add,1
adorable,1
advertisement,2
all,1
also,1
and,1
but,2
calculate,1
carefull,1
cases,1
characters,1
confused,1
copy,1
correct,1
create,1
data,1
days,5
each,1
end,1
existing,1
feed,1
feel,6
file,14
fixiz,1
for,1
from,17
gdańsk,1
got,1
happy,2
here,1
homework,1
i,6
in,1
input,15
is,15
it,4
iz,4
journal,12
json,6
kraków,1
last,2
left,5
letter,1
london,1
manual,2
mazowiecki,1
misspelling,1
mistake,1
more,1
my,3
need,1
news,13
normalize,1
not,1
number,1
of,4
one,1
only,2
paragraph,1
point,1
private,9
sentence,2
some,2
spaces,1
tex,1
text,15
the,11
these,1
this,17
to,4
todayjenny,2
todayola,1
todaystephan,1
todaysusan,2
tomaszów,1
txt,8
typekatowice,1
unhappy,1
unsecure,1
until,5
updatei,1
variable,1
view,1
when,1
whitespace,1
whitespaces,1
with,2
words,1
you,1
your,1
łódźłódź,1
